lat,lon,name,admin1,admin2,cc,coord_tuple
45.18333,23.66667,Novaci-Straini,Gorj,,RO,"('45.2775477', '23.6878538')"
33.89056,35.56639,Jdaidet el Matn,Mont-Liban,,LB,"('33.9267976', '35.5879061')"
53.55,10,Altstadt,Hamburg,,DE,"('53.5498382', '9.9956435')"
42.08836,-87.98063,Arlington Heights,Illinois,Cook County,US,"('42.1126381', '-87.9781898')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2447978', '55.3391647')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.0030362', '55.1612645')"
18.10483,78.84858,Siddipet,Telangana,Medak,IN,"('18.2060067', '78.9882193')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.264666', '55.3288732')"
25.41111,55.43504,Ajman,Ajman,,AE,"('25.4271904', '55.5258549')"
32.84727,-117.2742,La Jolla,California,San Diego County,US,"('32.854036', '-117.2560424')"
25.11641,56.34141,Al Fujayrah,Al Fujayrah,,AE,"('25.1294043', '56.3275668')"
47.85287,-122.33347,Meadowdale,Washington,Snohomish County,US,"('47.8969955', '-122.3218909')"
51.50853,-0.12574,London,England,Greater London,GB,"('51.5165177', '-0.1315425')"
-23.5475,-46.63611,Sao Paulo,Sao Paulo,Sao Paulo,BR,"('-23.5107179', '-46.687375')"
24.46667,54.36667,Abu Dhabi,Abu Dhabi,,AE,"('24.5012416', '54.3894458')"
24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.8109985', '46.6263413')"
50.56822,4.1658,Ecaussinnes-d'Enghien,Wallonia,Province du Hainaut,BE,"('50.5692041', '4.1753309')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.232785', '55.3853156')"
23.02579,72.58727,Ahmedabad,Gujarat,Ahmadabad,IN,"('23.0373772', '72.5656369')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.0476616', '55.1986108')"
29.61031,52.53113,Shiraz,Fars,,IR,"('29.6866428', '52.4508772')"
11.24802,75.7804,Kozhikode,Kerala,Kozhikode,IN,"('11.2542964', '75.7718837')"
10.76393,79.84454,Nagappattinam,Tamil Nadu,Nagapattinam,IN,"('10.683113', '79.842336')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2980144', '55.3748281')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2701558', '55.3062477')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.078258', '55.153983')"
35.78682,-78.66389,West Raleigh,North Carolina,Wake County,US,"('35.8745668', '-78.6232951')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2382867', '55.3041685')"
32.02594,44.34625,An Najaf,An Najaf,,IQ,"('32.0222824', '44.3548204')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1006392', '55.1692459')"
40.51233,-74.85933,Flemington,New Jersey,Hunterdon County,US,"('40.5034726', '-74.861632')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.0786763', '55.1378754')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1969928', '55.2789148')"
21.54238,39.19797,Jeddah,Makkah,,SA,"('21.5417719', '39.1907657')"
55.92491,11.67109,Nykobing Sjaelland,Zealand,Odsherred Kommune,DK,"('55.914514', '11.675426')"
33.6007,73.0679,Rawalpindi,Punjab,,PK,"('33.6066467', '73.0690225')"
36.51543,-4.88583,Marbella,Andalusia,Provincia de Malaga,ES,"('36.5067777', '-4.8837672')"
25.27932,51.52245,Doha,Baladiyat ad Dawhah,,QA,"('25.3170213', '51.5058096')"
40.76955,-74.02042,Weehawken,New Jersey,Hudson County,US,"('40.7645266', '-73.9996076')"
24.46667,54.36667,Abu Dhabi,Abu Dhabi,,AE,"('24.241804', '54.627785')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1861448', '55.2381859')"
29.295,47.93306,Ar Rabiyah,Al Asimah,,KW,"('29.30827', '47.928822')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2398316', '55.3075593')"
21.54238,39.19797,Jeddah,Makkah,,SA,"('21.5945393', '39.1093392')"
24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.7170127', '46.619037')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.1742346', '55.4063014')"
26.55035,-81.8687,Villas,Florida,Lee County,US,"('26.54529', '-81.8822293')"
26.27944,50.20833,Khobar,Eastern Province,,SA,"('26.3024007', '50.2118925')"
41.38712,2.13007,les Corts,Catalonia,Provincia de Barcelona,ES,"('41.3892862', '2.1333623')"
50.58907,5.86241,Verviers,Wallonia,Province de Liege,BE,"('50.5908141', '5.8581804')"
50.24841,18.74594,Przyszowice,Silesian Voivodeship,Powiat gliwicki,PL,"('50.2651512', '18.7216634')"
17.38405,78.45636,Hyderabad,Telangana,Hyderabad,IN,"('17.3217088', '78.4014643')"
24.46667,54.36667,Abu Dhabi,Abu Dhabi,,AE,"('24.3102652', '54.5643145')"
24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.8014025', '46.6738557')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1313257', '55.2113789')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.170732', '55.241869')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.100448', '55.169491')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.0446015', '55.1189544')"
26.21536,50.5832,Manama,Manama,,BH,"('26.2343596', '50.5684046')"
24.46667,54.36667,Abu Dhabi,Abu Dhabi,,AE,"('24.4621071', '54.3788494')"
52.25443,21.03472,Praga Polnoc,Masovian Voivodeship,Warszawa,PL,"('52.2318581', '21.0559738')"
33.9,35.48333,Ra's Bayrut,Beyrouth,,LB,"('33.8965152', '35.4781712')"
9.58692,76.52132,Kottayam,Kerala,Kottayam,IN,"('9.5920192', '76.6217614')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2729624', '55.3751771')"
24.82733,92.79787,Silchar,Assam,Cachar,IN,"('24.818924', '92.798704')"
24.9056,67.0822,Karachi,Sindh,Karachi District,PK,"('24.996515', '67.1019089')"
22.28299,114.15846,Central,Central and Western,,HK,"('22.280688', '114.158473')"
41.06255,-4.72042,Arevalo,Castille and Leon,Provincia de Avila,ES,"('41.0696104', '-4.7207203')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2296341', '55.3194236')"
19.2437,73.13554,Kalyan,Maharashtra,Thane,IN,"('19.2348272', '73.1223515')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.349358', '55.4030494')"
50.69075,16.623,Bielawa,Lower Silesian Voivodeship,Powiat dzierzoniowski,PL,"('50.6828597', '16.6180099')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.114741', '55.1362375')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.171368', '55.216909')"
25.0657,55.17128,Dubai,Dubai,,AE,"('24.981697', '55.1873081')"
-25.98953,28.12843,Midrand,Gauteng,City of Johannesburg Metropolitan Municipality,ZA,"('-26.0187444', '28.0889732')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.0649249', '55.1559413')"
