,name_of_loc,ratings_of_loc,address_of_loc,number_of_reviews,type_loc,price_level
237,Nike Factory Store - Nashville,,Tennessee,,,
238,Hurley Factory Store - Las Americas Premium Outlets,,California ,,,
239,Nike Factory Store - Farmington,,Utah,,,
240,Nike Factory Store - Merrimack,,New Hampshire,,,
241,Nike Factory Store - Long Beach,,California ,,,
242,Nike Factory Store - Norfolk,,Virginia,,,
243,Nike Factory Store - Oak Brook,,Illinois,,,
244,Nike Factory Store - Barceloneta,,PR,,,
245,Hurley Factory Store - Orlando Premium Outlets Vineland,,Florida ,,,
246,Nike Factory Store - Hagerstown,,Maryland,,,
247,Hurley Factory Store -Tanger Outlet Center - San Marcos,,Texas ,,,
248,Nike Factory Store - Hanover,,Maryland,,,
249,Nike Factory Store - Tulare,,California ,,,
250,Hurley Factory Store - Orlando Premium Outlets International Drive,,Florida ,,,
251,Nike Westlake,,California ,,,
252,Nike Factory Store - Howell,,Michigan,,,
253,Nike Factory Store - Rehoboth,,Delaware,,,
254,Nike Factory Store - Winter Garden,,Florida ,,,
255,Nike Clearance Store - Flushing Queens,,New York ,,,
256,Nike Factory Store - National Harbor,,Maryland,,,
257,Nike Factory Store - Seaside,,Oregon,,,
258,Nike Factory Store - Rosemont,,Illinois,,,
259,Nike Miami,,Florida ,,,
260,Hurley Factory Store - San Francisco Premium Outlets,,California ,,,
261,Nike Portland,,Oregon,,,
262,Hurley Factory Store - The Outlets at Orange,,California ,,,
263,Nike by Long Beach,,California ,,,
264,Nike Factory Store - Vero Beach,,Florida ,,,
265,Nike Factory Store - Grand Rapids,,Michigan,,,
266,Nike Factory Store - Camarillo,,California ,,,
267,Nike Factory Store - Loveland,,Colorado,,,
268,Nike Factory Store - West Jordan,,Utah,,,
269,Nike Factory Store - Grand Prairie,,Texas ,,,
270,Nike Factory Store - Terrell,,Texas ,,,
271,Nike Soho,,New York ,,,
272,Nike Factory Store - Riverhead,,New York ,,,
273,Nike Factory Store - Bend,,Oregon,,,
